,season,league_name,player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,minutes_90s,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,pens_save_pct,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk
69,2021-2022,La-Liga,Luís Maximiano,pt POR,GK,Granada,22-313,1999,9.0,9.0,796.0,8.8,10.0,1.13,49.0,39.0,79.6,2.0,3.0,4.0,2.0,22.2,1.0,0.0,1.0,0.0,100.0,0.0,2.0,0.0,14.6,0.28,4.6,0.52,53.0,165.0,32.1,214.0,47.0,51.4,41.9,75.0,73.3,52.7,114.0,6.0,5.3,13.0,1.47,17.0
70,2021-2022,La-Liga,Neto,br BRA,GK,Barcelona,32-118,1989,2.0,2.0,180.0,2.0,3.0,1.5,9.0,6.0,66.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.33,0.0,-0.01,19.0,36.0,52.8,81.0,11.0,42.0,36.2,16.0,12.5,28.4,21.0,1.0,4.8,2.0,1.0,13.9
71,2021-2022,La-Liga,Jan Oblak,si SVN,GK,Atlético Madrid,28-311,1993,12.0,12.0,1080.0,12.0,13.0,1.08,23.0,14.0,56.5,6.0,5.0,1.0,4.0,33.3,3.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,8.2,0.24,-2.8,-0.24,57.0,142.0,40.1,233.0,55.0,44.2,40.2,79.0,49.4,41.5,82.0,7.0,8.5,3.0,0.25,13.7
72,2021-2022,La-Liga,Fernando Pacheco,es ESP,GK,Alavés,29-180,1992,10.0,10.0,893.0,9.9,12.0,1.21,34.0,23.0,67.6,4.0,0.0,6.0,3.0,30.0,2.0,1.0,1.0,0.0,50.0,0.0,3.0,0.0,11.6,0.29,-0.4,-0.04,112.0,188.0,59.6,220.0,25.0,62.3,47.0,87.0,58.6,45.6,107.0,6.0,5.6,4.0,0.4,13.2
73,2021-2022,La-Liga,Juan Pérez,es ESP,GK,Osasuna,25-122,1996,1.0,1.0,90.0,1.0,2.0,2.0,4.0,2.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9,0.22,-1.1,-1.13,3.0,18.0,16.7,19.0,4.0,68.4,46.5,5.0,100.0,64.2,8.0,1.0,12.5,2.0,2.0,16.9
74,2021-2022,La-Liga,Manolo Reina,es ESP,GK,Mallorca,36-227,1985,12.0,12.0,1080.0,12.0,16.0,1.33,39.0,23.0,61.5,3.0,6.0,3.0,4.0,33.3,2.0,1.0,1.0,0.0,50.0,0.0,0.0,1.0,12.3,0.29,-2.7,-0.23,80.0,211.0,37.9,276.0,46.0,56.5,44.9,96.0,57.3,43.2,109.0,10.0,9.2,8.0,0.67,14.9
75,2021-2022,La-Liga,Álex Remiro,es ESP,GK,Real Sociedad,26-235,1995,11.0,11.0,990.0,11.0,8.0,0.73,29.0,21.0,75.9,6.0,4.0,1.0,7.0,63.6,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.8,0.24,-0.2,-0.02,89.0,163.0,54.6,291.0,42.0,42.6,36.4,65.0,60.0,49.6,92.0,13.0,14.1,11.0,1.0,15.0
76,2021-2022,La-Liga,Gerónimo Rulli,ar ARG,GK,Villarreal,29-178,1992,10.0,10.0,900.0,10.0,8.0,0.8,22.0,16.0,72.7,2.0,5.0,3.0,6.0,60.0,3.0,2.0,1.0,0.0,33.3,0.0,0.0,1.0,7.3,0.25,0.3,0.03,37.0,92.0,40.2,314.0,51.0,21.0,31.4,71.0,36.6,37.4,98.0,10.0,10.2,9.0,0.9,16.9
77,2021-2022,La-Liga,Mathew Ryan,au AUS,GK,Real Sociedad,29-220,1992,2.0,2.0,180.0,2.0,2.0,1.0,7.0,6.0,85.7,2.0,0.0,0.0,1.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.2,0.19,0.2,0.11,14.0,35.0,40.0,59.0,9.0,45.8,39.8,13.0,61.5,46.6,25.0,2.0,8.0,1.0,0.5,12.5
78,2021-2022,La-Liga,Rui Silva,pt POR,GK,Betis,27-280,1994,6.0,6.0,540.0,6.0,6.0,1.0,14.0,9.0,64.3,2.0,2.0,2.0,1.0,16.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.24,-1.7,-0.29,26.0,56.0,46.4,133.0,25.0,30.8,32.4,41.0,36.6,35.9,48.0,2.0,4.2,7.0,1.17,17.6
